run_id,frame,time_ps,combined_frame_index,n_contact_pairs
RUN1,100,4.888821,0,21
RUN1,110,5.3777031,1,20
RUN1,120,5.8665852,2,22
RUN1,130,6.3554673,3,20
RUN1,140,6.8443494000000005,4,17
RUN1,150,7.3332315,5,22
RUN1,160,7.8221136,6,21
RUN1,170,8.3109957,7,20
RUN1,180,8.7998778,8,18
RUN1,190,9.2887599,9,23
RUN1,200,9.777642,10,19
RUN1,210,10.2665241,11,21
RUN1,220,10.7554062,12,17
RUN1,230,11.244288300000001,13,20
RUN1,240,11.7331704,14,24
RUN1,250,12.2220525,15,18
RUN1,260,12.7109346,16,23
RUN1,270,13.1998167,17,20
RUN1,280,13.688698800000001,18,21
RUN1,290,14.1775809,19,20
RUN1,300,14.666463,20,19
RUN1,310,15.1553451,21,20
RUN1,320,15.6442272,22,21
RUN1,330,16.1331093,23,22
RUN1,340,16.6219914,24,23
RUN1,350,17.1108735,25,25
RUN1,360,17.5997556,26,23
RUN1,370,18.0886377,27,22
RUN1,380,18.5775198,28,19
RUN1,390,19.0664019,29,25
RUN1,400,19.555284,30,22
RUN1,410,20.0441661,31,22
RUN1,420,20.5330482,32,23
RUN1,430,21.0219303,33,22
RUN1,440,21.5108124,34,23
RUN1,450,21.9996945,35,21
RUN1,460,22.488576600000002,36,23
RUN1,470,22.9774587,37,25
RUN1,480,23.4663408,38,24
RUN1,490,23.9552229,39,21
RUN1,500,24.444105,40,26
RUN1,510,24.932987100000002,41,22
RUN1,520,25.4218692,42,23
RUN1,530,25.9107513,43,22
RUN1,540,26.3996334,44,21
RUN1,550,26.8885155,45,24
RUN1,560,27.377397600000002,46,21
RUN1,570,27.8662797,47,21
RUN1,580,28.3551618,48,21
RUN1,590,28.8440439,49,23
RUN1,600,29.332926,50,24
RUN1,610,29.821808100000002,51,18
RUN1,620,30.3106902,52,24
RUN1,630,30.7995723,53,24
RUN1,640,31.2884544,54,22
RUN1,650,31.7773365,55,21
RUN1,660,32.2662186,56,25
RUN1,670,32.7551007,57,26
RUN1,680,33.2439828,58,27
RUN1,690,33.7328649,59,25
RUN1,700,34.221747,60,24
RUN1,710,34.7106291,61,24
