frame,time_ps,T:SEP856,T:SEP857,T:SEP859,T:TPO860,total_sasa_angstrom2,run_id
200,200.0,143.22274780273438,8.857322692871094,11.60747241973877,51.93463134765625,215.6221742630005,RUN1
225,225.0,158.4765625,37.5159797668457,10.818230628967285,51.33680725097656,258.14758014678955,RUN1
250,250.0,128.1805419921875,20.75467300415039,10.626208305358887,17.69141387939453,177.2528371810913,RUN1
275,275.0,110.93467712402344,14.858518600463867,26.939449310302734,32.999122619628906,185.73176765441895,RUN1
300,300.0,169.99462890625,35.81886291503906,107.30311584472656,45.177249908447266,358.2938575744629,RUN1
325,325.0,149.29690551757812,17.96734619140625,60.8305778503418,63.59321212768555,291.6880416870117,RUN1
350,350.0,152.77212524414062,44.9500732421875,56.271034240722656,56.35803985595703,310.3512725830078,RUN1
375,375.0,133.00582885742188,13.784112930297852,69.30701446533203,69.4207763671875,285.51773262023926,RUN1
400,400.0,117.77310943603516,18.87353515625,58.56874084472656,94.30852508544922,289.52391052246094,RUN1
425,425.0,195.85791015625,31.0659122467041,33.74456024169922,94.37452697753906,355.0429096221924,RUN1
450,450.0,184.12112426757812,48.0257682800293,16.371875762939453,85.66493225097656,334.18370056152344,RUN1
475,475.0,176.5865936279297,41.26216125488281,27.79352569580078,96.28561401367188,341.92789459228516,RUN1
500,500.0,193.14486694335938,28.017309188842773,53.469444274902344,106.52730560302734,381.15892601013184,RUN1
525,525.0,192.68524169921875,20.341075897216797,61.645633697509766,89.00088500976562,363.67283630371094,RUN1
550,550.0,186.02069091796875,36.66145324707031,40.682373046875,88.3270034790039,351.69152069091797,RUN1
575,575.0,210.656982421875,64.77143096923828,48.891563415527344,112.79105377197266,437.1110305786133,RUN1
600,600.0,194.3118438720703,53.823158264160156,43.49699020385742,84.04234313964844,375.6743354797363,RUN1
625,625.0,208.37710571289062,59.504981994628906,29.823326110839844,97.6295166015625,395.3349304199219,RUN1
650,650.0,182.8970184326172,32.7481689453125,44.65703582763672,94.6009750366211,354.9031982421875,RUN1
675,675.0,163.28858947753906,27.19182586669922,57.32701873779297,73.44963073730469,321.25706481933594,RUN1
700,700.0,180.5496826171875,35.28781509399414,43.477821350097656,84.78160095214844,344.09692001342773,RUN1
725,725.0,205.11473083496094,46.29438400268555,37.49553680419922,85.36067199707031,374.265323638916,RUN1
750,750.0,199.153564453125,56.67665481567383,51.01272964477539,66.01014709472656,372.8530960083008,RUN1
775,775.0,185.25628662109375,54.8708381652832,54.690956115722656,81.89375305175781,376.7118339538574,RUN1
800,800.0,191.44949340820312,71.23108673095703,41.78050231933594,68.77691650390625,373.23799896240234,RUN1
825,825.0,205.70782470703125,49.73565673828125,41.5837516784668,88.9334716796875,385.9607048034668,RUN1
